ID,PUNTUACION_ACCESIBILIDAD,PUNTUACION_CALIDAD,COMENTARIOS,AREA_RECREATIVA_ID,FECHA
44,3,2,ACEPTABLE,17858,2021-08-27T00:00:00
45,3,4,MUY BUENO,18410,2021-06-26T00:00:00
46,1,1,DEFICIENTE,18557,2023-08-16T00:00:00
47,2,2,ACEPTABLE,16967,2021-10-25T00:00:00
48,1,1,DEFICIENTE,18193,2023-08-25T00:00:00
49,4,4,EXCELENTE,17862,2023-06-12T00:00:00
50,5,4,EXCELENTE,18395,2021-05-21T00:00:00
51,1,2,REGULAR,7928019,2021-07-24T00:00:00
52,1,1,DEFICIENTE,8907322,2023-12-28T00:00:00
53,3,4,MUY BUENO,4749896,2023-06-13T00:00:00
54,4,5,EXCELENTE,17362,2023-04-15T00:00:00
55,5,4,EXCELENTE,6819626,2023-03-26T00:00:00
56,1,1,DEFICIENTE,52167,2022-06-18T00:00:00
57,3,3,MUY BUENO,17675,2021-01-13T00:00:00
58,4,5,EXCELENTE,17139,2022-04-19T00:00:00
59,1,2,REGULAR,17742,2021-03-26T00:00:00
60,5,5,EXCELENTE,5654057,2022-04-18T00:00:00
61,3,4,MUY BUENO,18011,2023-11-19T00:00:00
62,3,2,ACEPTABLE,18149,2021-05-13T00:00:00
63,2,3,ACEPTABLE,17786,2023-04-05T00:00:00
64,5,5,EXCELENTE,6880820,2021-10-10T00:00:00
65,4,3,MUY BUENO,18284,2022-10-11T00:00:00
66,3,3,MUY BUENO,8914015,2023-02-12T00:00:00
67,1,1,DEFICIENTE,16986,2023-05-03T00:00:00
68,2,1,REGULAR,7882665,2023-02-03T00:00:00
69,5,5,EXCELENTE,17378,2021-08-15T00:00:00
70,3,2,ACEPTABLE,17511,2023-10-13T00:00:00
71,5,4,EXCELENTE,16767,2021-07-16T00:00:00
72,3,3,MUY BUENO,18168,2021-07-25T00:00:00
73,5,4,EXCELENTE,18091,2022-01-09T00:00:00
74,3,3,MUY BUENO,5653963,2022-08-15T00:00:00
75,2,1,REGULAR,17200,2022-01-18T00:00:00
76,5,5,EXCELENTE,16969,2023-10-14T00:00:00
77,2,3,ACEPTABLE,17266,2022-02-25T00:00:00
78,5,5,EXCELENTE,7245849,2022-09-23T00:00:00
79,1,2,REGULAR,17283,2023-02-24T00:00:00
80,4,4,EXCELENTE,17938,2021-10-18T00:00:00
81,4,4,EXCELENTE,17289,2023-12-08T00:00:00
82,1,1,DEFICIENTE,17063,2023-09-30T00:00:00
83,1,1,DEFICIENTE,18327,2022-03-18T00:00:00
84,5,5,EXCELENTE,17549,2023-03-31T00:00:00
85,5,5,EXCELENTE,18584,2023-06-08T00:00:00
86,1,1,DEFICIENTE,5237134,2023-07-31T00:00:00
87,2,3,ACEPTABLE,18454,2021-10-04T00:00:00
88,1,2,REGULAR,18074,2022-03-11T00:00:00
89,2,2,ACEPTABLE,17779,2023-02-08T00:00:00
90,4,3,MUY BUENO,18021,2022-04-27T00:00:00
91,1,2,REGULAR,18534,2021-08-05T00:00:00
92,1,1,DEFICIENTE,5237132,2023-03-25T00:00:00
93,1,2,REGULAR,17977,2023-04-18T00:00:00
94,2,2,ACEPTABLE,18615,2022-03-16T00:00:00
95,1,2,REGULAR,17030,2023-10-27T00:00:00
96,2,3,ACEPTABLE,16840,2023-09-11T00:00:00
97,3,4,MUY BUENO,16855,2023-11-01T00:00:00
98,3,4,MUY BUENO,17996,2022-07-01T00:00:00
99,4,4,EXCELENTE,17418,2022-09-12T00:00:00
100,3,4,MUY BUENO,17447,2021-01-14T00:00:00
101,3,2,ACEPTABLE,5653899,2022-05-10T00:00:00
102,3,3,MUY BUENO,4749894,2021-06-08T00:00:00
103,2,3,ACEPTABLE,17848,2023-11-18T00:00:00
104,1,1,DEFICIENTE,52192,2022-09-29T00:00:00
105,4,3,MUY BUENO,17378,2023-05-24T00:00:00
106,5,4,EXCELENTE,7180264,2023-12-12T00:00:00
107,1,1,DEFICIENTE,18232,2022-07-27T00:00:00
108,2,3,ACEPTABLE,16741,2021-08-04T00:00:00
109,2,3,ACEPTABLE,18569,2023-11-24T00:00:00
110,2,3,ACEPTABLE,17851,2021-05-25T00:00:00
111,3,3,MUY BUENO,52095,2021-04-17T00:00:00
112,1,1,DEFICIENTE,16696,2022-05-17T00:00:00
113,1,2,REGULAR,17813,2021-08-16T00:00:00
114,5,5,EXCELENTE,17933,2022-07-13T00:00:00
115,4,3,MUY BUENO,17375,2023-04-06T00:00:00
116,4,5,EXCELENTE,52214,2022-05-27T00:00:00
117,5,5,EXCELENTE,17755,2021-12-25T00:00:00
118,5,5,EXCELENTE,18331,2022-01-08T00:00:00
119,2,3,ACEPTABLE,17560,2022-05-22T00:00:00
120,2,2,ACEPTABLE,16966,2021-08-10T00:00:00
121,4,3,MUY BUENO,17007,2023-03-30T00:00:00
122,2,1,REGULAR,3569210,2023-11-16T00:00:00
123,4,5,EXCELENTE,7021749,2023-09-04T00:00:00
124,4,3,MUY BUENO,3568708,2021-04-13T00:00:00
125,4,5,EXCELENTE,4988273,2021-05-05T00:00:00
126,3,2,ACEPTABLE,7886327,2022-11-21T00:00:00
127,1,2,REGULAR,18497,2022-02-02T00:00:00
128,4,5,EXCELENTE,17760,2022-08-21T00:00:00
129,1,1,DEFICIENTE,17613,2022-03-10T00:00:00
130,5,4,EXCELENTE,18212,2023-12-31T00:00:00
131,4,4,EXCELENTE,17983,2023-01-23T00:00:00
132,1,1,DEFICIENTE,7165658,2021-09-24T00:00:00
133,1,1,DEFICIENTE,5219935,2022-11-03T00:00:00
134,2,1,REGULAR,52078,2023-10-27T00:00:00
135,4,3,MUY BUENO,17390,2021-04-16T00:00:00
136,3,2,ACEPTABLE,17476,2021-12-31T00:00:00
137,2,3,ACEPTABLE,5237130,2022-03-25T00:00:00
138,3,4,MUY BUENO,5071591,2021-11-28T00:00:00
139,4,5,EXCELENTE,17290,2022-08-16T00:00:00
140,4,3,MUY BUENO,52229,2023-03-11T00:00:00
141,2,3,ACEPTABLE,5653899,2022-05-24T00:00:00
142,3,4,MUY BUENO,9049652,2023-02-13T00:00:00
143,4,3,MUY BUENO,18391,2023-12-05T00:00:00
144,5,5,EXCELENTE,16967,2022-12-20T00:00:00
145,5,4,EXCELENTE,18479,2021-09-28T00:00:00
146,1,2,REGULAR,16915,2022-12-04T00:00:00
147,2,1,REGULAR,17830,2021-10-01T00:00:00
148,5,5,EXCELENTE,17961,2023-02-01T00:00:00
149,1,1,DEFICIENTE,16897,2022-09-18T00:00:00
150,4,3,MUY BUENO,7129053,2022-08-01T00:00:00
151,3,3,MUY BUENO,18268,2023-04-29T00:00:00
152,5,5,EXCELENTE,52223,2023-04-29T00:00:00
153,5,5,EXCELENTE,17735,2023-11-06T00:00:00
154,1,1,DEFICIENTE,18466,2022-08-26T00:00:00
155,1,1,DEFICIENTE,7928004,2022-05-16T00:00:00
156,2,3,ACEPTABLE,17465,2021-01-06T00:00:00
157,3,2,ACEPTABLE,7356654,2021-06-29T00:00:00
158,2,1,REGULAR,5158861,2021-01-10T00:00:00
159,1,2,REGULAR,7182466,2021-10-12T00:00:00
160,4,4,EXCELENTE,17060,2021-05-25T00:00:00
161,5,5,EXCELENTE,17009,2022-11-19T00:00:00
162,1,2,REGULAR,16671,2022-08-20T00:00:00
163,2,1,REGULAR,17016,2023-06-03T00:00:00
164,1,1,DEFICIENTE,17278,2023-04-05T00:00:00
165,1,1,DEFICIENTE,3531279,2021-10-16T00:00:00
166,4,4,EXCELENTE,7356654,2022-05-11T00:00:00
167,2,1,REGULAR,461342,2021-07-01T00:00:00
168,2,1,REGULAR,18545,2021-07-30T00:00:00
169,5,4,EXCELENTE,7356671,2023-01-16T00:00:00
170,3,2,ACEPTABLE,5240107,2021-10-22T00:00:00
171,1,2,REGULAR,16743,2023-06-22T00:00:00
172,2,2,ACEPTABLE,16892,2022-02-06T00:00:00
173,3,4,MUY BUENO,18416,2022-06-21T00:00:00
174,5,5,EXCELENTE,17530,2023-08-08T00:00:00
175,3,3,MUY BUENO,4986142,2022-02-04T00:00:00
176,4,3,MUY BUENO,8799540,2022-09-08T00:00:00
177,4,5,EXCELENTE,52219,2022-08-09T00:00:00
178,5,4,EXCELENTE,7126585,2022-12-21T00:00:00
179,2,1,REGULAR,17039,2021-03-06T00:00:00
180,5,5,EXCELENTE,17847,2022-12-18T00:00:00
181,5,5,EXCELENTE,5219920,2021-05-13T00:00:00
182,2,2,ACEPTABLE,18325,2021-07-12T00:00:00
183,4,4,EXCELENTE,17432,2023-11-20T00:00:00
184,2,2,ACEPTABLE,18520,2022-11-22T00:00:00
185,1,1,DEFICIENTE,5240286,2023-06-15T00:00:00
186,1,1,DEFICIENTE,17199,2021-05-23T00:00:00
187,3,3,MUY BUENO,18060,2023-04-13T00:00:00
188,4,3,MUY BUENO,18055,2023-10-28T00:00:00
189,4,4,EXCELENTE,17225,2021-09-30T00:00:00
190,1,1,DEFICIENTE,17037,2021-01-03T00:00:00
191,3,2,ACEPTABLE,5237123,2022-01-21T00:00:00
192,4,4,EXCELENTE,17855,2023-12-21T00:00:00
193,3,4,MUY BUENO,7247843,2021-02-15T00:00:00
194,4,5,EXCELENTE,16700,2022-05-21T00:00:00
195,1,2,REGULAR,52223,2021-02-15T00:00:00
196,3,2,ACEPTABLE,17511,2022-12-19T00:00:00
197,2,3,ACEPTABLE,18004,2022-01-02T00:00:00
198,3,2,ACEPTABLE,5056315,2023-05-07T00:00:00
199,2,3,ACEPTABLE,17694,2021-07-04T00:00:00
200,5,5,EXCELENTE,17150,2022-08-21T00:00:00
201,3,3,MUY BUENO,52135,2021-12-27T00:00:00
202,2,2,ACEPTABLE,52045,2021-07-19T00:00:00
203,1,1,DEFICIENTE,18164,2021-02-09T00:00:00
204,1,1,DEFICIENTE,18165,2023-07-28T00:00:00
205,2,1,REGULAR,18152,2021-02-10T00:00:00
206,1,2,REGULAR,17145,2021-02-01T00:00:00
207,3,3,MUY BUENO,8914013,2022-01-29T00:00:00
208,1,1,DEFICIENTE,17482,2023-05-14T00:00:00
209,3,3,MUY BUENO,52175,2022-05-10T00:00:00
210,2,2,ACEPTABLE,17052,2022-07-07T00:00:00
211,5,5,EXCELENTE,18377,2023-05-28T00:00:00
212,3,3,MUY BUENO,52224,2022-10-31T00:00:00
213,2,2,ACEPTABLE,18069,2023-02-06T00:00:00
214,3,2,ACEPTABLE,17992,2022-02-08T00:00:00
215,1,1,DEFICIENTE,18347,2021-07-17T00:00:00
216,1,1,DEFICIENTE,18068,2021-12-30T00:00:00
217,1,1,DEFICIENTE,17537,2023-12-01T00:00:00
218,2,1,REGULAR,18110,2023-08-27T00:00:00
219,1,2,REGULAR,18372,2023-11-28T00:00:00
220,2,2,ACEPTABLE,17208,2022-09-03T00:00:00
221,3,4,MUY BUENO,461342,2023-04-11T00:00:00
222,3,4,MUY BUENO,17515,2021-01-17T00:00:00
223,5,5,EXCELENTE,17685,2022-08-11T00:00:00
224,1,1,DEFICIENTE,17942,2023-05-29T00:00:00
225,3,2,ACEPTABLE,17563,2021-04-01T00:00:00
226,4,5,EXCELENTE,7840483,2022-10-05T00:00:00
227,1,1,DEFICIENTE,18287,2022-05-02T00:00:00
228,1,1,DEFICIENTE,18393,2023-03-25T00:00:00
229,3,2,ACEPTABLE,16872,2021-08-03T00:00:00
230,3,4,MUY BUENO,451348,2022-01-27T00:00:00
231,3,4,MUY BUENO,18494,2022-09-19T00:00:00
232,3,4,MUY BUENO,7591554,2023-10-18T00:00:00
233,5,5,EXCELENTE,3573055,2021-02-04T00:00:00
234,5,5,EXCELENTE,18434,2022-02-11T00:00:00
235,5,4,EXCELENTE,18067,2022-04-30T00:00:00
236,4,4,EXCELENTE,18317,2023-11-10T00:00:00
237,4,4,EXCELENTE,5246186,2022-07-29T00:00:00
238,1,2,REGULAR,7125671,2023-01-28T00:00:00
239,1,1,DEFICIENTE,17433,2022-09-01T00:00:00
240,5,4,EXCELENTE,5653967,2023-12-05T00:00:00
241,5,4,EXCELENTE,3573055,2022-09-05T00:00:00
242,3,2,ACEPTABLE,17319,2023-10-11T00:00:00
243,2,3,ACEPTABLE,5195568,2021-09-26T00:00:00
244,4,5,EXCELENTE,17154,2023-07-07T00:00:00
245,3,2,ACEPTABLE,17885,2021-12-15T00:00:00
246,5,5,EXCELENTE,18505,2021-12-03T00:00:00
247,2,3,ACEPTABLE,18327,2023-11-28T00:00:00
248,5,4,EXCELENTE,7130028,2023-05-21T00:00:00
249,2,3,ACEPTABLE,18063,2023-01-12T00:00:00
250,1,1,DEFICIENTE,17148,2021-06-04T00:00:00
251,3,4,MUY BUENO,17256,2021-08-06T00:00:00
252,1,1,DEFICIENTE,7126156,2022-11-20T00:00:00
253,1,1,DEFICIENTE,7764194,2022-03-05T00:00:00
254,4,5,EXCELENTE,17326,2021-03-14T00:00:00
255,1,1,DEFICIENTE,18636,2021-11-08T00:00:00
256,1,2,REGULAR,7107695,2021-01-09T00:00:00
257,3,3,MUY BUENO,17761,2021-10-09T00:00:00
258,5,5,EXCELENTE,461342,2022-09-13T00:00:00
259,2,1,REGULAR,18292,2023-10-20T00:00:00
260,3,3,MUY BUENO,461181,2021-07-31T00:00:00
261,2,2,ACEPTABLE,17562,2023-06-25T00:00:00
262,1,2,REGULAR,17527,2022-02-06T00:00:00
263,3,3,MUY BUENO,52200,2022-09-15T00:00:00
264,2,2,ACEPTABLE,17604,2023-09-02T00:00:00
265,4,3,MUY BUENO,18413,2023-05-17T00:00:00
266,2,1,REGULAR,16725,2022-07-01T00:00:00
267,4,5,EXCELENTE,18268,2021-04-04T00:00:00
268,2,2,ACEPTABLE,17977,2022-12-27T00:00:00
269,1,2,REGULAR,17649,2021-07-30T00:00:00
270,5,5,EXCELENTE,6819611,2021-02-22T00:00:00
271,3,4,MUY BUENO,52189,2023-04-30T00:00:00
272,2,1,REGULAR,17092,2023-11-04T00:00:00
273,1,2,REGULAR,17929,2021-03-21T00:00:00
274,5,4,EXCELENTE,3566363,2022-01-16T00:00:00
275,3,4,MUY BUENO,5653896,2022-09-04T00:00:00
276,1,1,DEFICIENTE,18487,2021-12-19T00:00:00
277,4,5,EXCELENTE,17899,2021-08-09T00:00:00
278,1,1,DEFICIENTE,17746,2023-09-23T00:00:00
279,3,4,MUY BUENO,17424,2022-07-10T00:00:00
280,4,5,EXCELENTE,17996,2023-10-14T00:00:00
281,3,4,MUY BUENO,7107055,2022-07-06T00:00:00
282,1,1,DEFICIENTE,18297,2022-06-02T00:00:00
283,5,5,EXCELENTE,17505,2023-11-05T00:00:00
284,3,3,MUY BUENO,461342,2022-12-24T00:00:00
285,4,3,MUY BUENO,5158861,2022-02-27T00:00:00
286,1,2,REGULAR,5213823,2021-03-31T00:00:00
287,4,4,EXCELENTE,3568169,2021-10-27T00:00:00
288,3,4,MUY BUENO,17046,2021-02-18T00:00:00
289,5,5,EXCELENTE,7537965,2021-01-13T00:00:00
290,1,1,DEFICIENTE,17646,2021-09-17T00:00:00
291,4,5,EXCELENTE,5237139,2023-04-13T00:00:00
292,4,3,MUY BUENO,52102,2021-07-30T00:00:00
293,5,5,EXCELENTE,17980,2022-09-16T00:00:00
294,3,4,MUY BUENO,17760,2022-11-16T00:00:00
295,1,1,DEFICIENTE,17593,2023-09-03T00:00:00
296,5,5,EXCELENTE,18005,2021-12-03T00:00:00
297,5,5,EXCELENTE,16785,2021-07-23T00:00:00
298,2,1,REGULAR,17578,2023-10-08T00:00:00
299,5,4,EXCELENTE,17949,2022-12-23T00:00:00
300,4,5,EXCELENTE,17395,2021-07-27T00:00:00
301,1,1,DEFICIENTE,17549,2022-01-14T00:00:00
302,1,2,REGULAR,16776,2022-09-22T00:00:00
303,3,2,ACEPTABLE,16743,2022-11-11T00:00:00
304,1,2,REGULAR,52060,2023-07-10T00:00:00
305,5,5,EXCELENTE,17975,2022-04-01T00:00:00
306,2,1,REGULAR,18054,2022-08-25T00:00:00
307,4,4,EXCELENTE,17276,2022-02-17T00:00:00
308,1,1,DEFICIENTE,7928425,2022-11-27T00:00:00
309,2,3,ACEPTABLE,17562,2021-03-15T00:00:00
310,4,3,MUY BUENO,17555,2023-09-17T00:00:00
311,3,3,MUY BUENO,8799606,2021-04-21T00:00:00
312,2,3,ACEPTABLE,18140,2021-09-04T00:00:00
313,2,3,ACEPTABLE,17342,2022-02-05T00:00:00
314,4,5,EXCELENTE,17426,2022-08-07T00:00:00
315,4,5,EXCELENTE,18508,2021-10-25T00:00:00
316,5,5,EXCELENTE,17278,2023-06-24T00:00:00
317,5,4,EXCELENTE,16959,2021-12-06T00:00:00
318,4,5,EXCELENTE,17207,2023-02-09T00:00:00
319,5,5,EXCELENTE,5653967,2022-10-11T00:00:00
320,4,5,EXCELENTE,17897,2023-02-05T00:00:00
321,4,4,EXCELENTE,5241187,2023-09-07T00:00:00
322,3,2,ACEPTABLE,18467,2021-01-19T00:00:00
323,4,5,EXCELENTE,17664,2021-08-19T00:00:00
324,1,2,REGULAR,52141,2022-10-18T00:00:00
325,3,3,MUY BUENO,18604,2021-07-21T00:00:00
326,4,3,MUY BUENO,3573331,2022-04-08T00:00:00
327,5,4,EXCELENTE,52177,2023-11-08T00:00:00
328,3,4,MUY BUENO,18485,2023-06-22T00:00:00
329,2,2,ACEPTABLE,8218587,2023-03-24T00:00:00
330,2,1,REGULAR,5075332,2022-01-12T00:00:00
331,1,1,DEFICIENTE,5237113,2022-10-10T00:00:00
332,5,5,EXCELENTE,18279,2023-04-11T00:00:00
333,1,1,DEFICIENTE,17194,2023-09-05T00:00:00
334,4,3,MUY BUENO,17383,2022-02-15T00:00:00
335,5,5,EXCELENTE,16686,2021-07-20T00:00:00
336,4,4,EXCELENTE,17945,2023-01-29T00:00:00
337,1,1,DEFICIENTE,52184,2023-11-07T00:00:00
338,1,1,DEFICIENTE,5246197,2023-04-20T00:00:00
339,4,5,EXCELENTE,17136,2021-08-24T00:00:00
340,3,3,MUY BUENO,17990,2022-06-14T00:00:00
341,4,4,EXCELENTE,18363,2022-03-17T00:00:00
342,1,1,DEFICIENTE,7126156,2021-10-28T00:00:00
343,4,5,EXCELENTE,8799607,2022-01-26T00:00:00
344,2,1,REGULAR,16887,2023-12-02T00:00:00
345,2,3,ACEPTABLE,17745,2022-05-27T00:00:00
346,5,4,EXCELENTE,9187543,2022-11-10T00:00:00
347,3,4,MUY BUENO,7107693,2021-09-04T00:00:00
348,1,1,DEFICIENTE,17027,2023-06-26T00:00:00
349,3,2,ACEPTABLE,7107693,2022-06-07T00:00:00
350,5,5,EXCELENTE,6819625,2022-02-21T00:00:00
351,5,4,EXCELENTE,17939,2023-05-24T00:00:00
352,5,4,EXCELENTE,17324,2023-03-22T00:00:00
353,2,3,ACEPTABLE,17814,2023-03-16T00:00:00
354,3,4,MUY BUENO,17612,2021-06-04T00:00:00
355,4,4,EXCELENTE,17242,2021-10-05T00:00:00
356,3,4,MUY BUENO,7168554,2022-05-27T00:00:00
357,2,2,ACEPTABLE,5653909,2023-08-26T00:00:00
358,4,5,EXCELENTE,7591618,2022-12-30T00:00:00
359,1,1,DEFICIENTE,4737941,2021-02-02T00:00:00
360,3,4,MUY BUENO,17445,2023-11-09T00:00:00
361,1,1,DEFICIENTE,8799553,2022-03-28T00:00:00
362,1,1,DEFICIENTE,17965,2021-09-28T00:00:00
363,4,3,MUY BUENO,7403983,2023-01-25T00:00:00
364,1,2,REGULAR,8799606,2023-07-14T00:00:00
365,4,3,MUY BUENO,17206,2023-12-17T00:00:00
366,5,5,EXCELENTE,18506,2021-07-10T00:00:00
367,1,2,REGULAR,16822,2022-07-08T00:00:00
368,2,1,REGULAR,18068,2023-01-21T00:00:00
369,4,3,MUY BUENO,18135,2023-01-11T00:00:00
370,1,1,DEFICIENTE,3573052,2021-04-03T00:00:00
371,1,1,DEFICIENTE,5799343,2022-11-19T00:00:00
372,2,2,ACEPTABLE,17065,2021-05-26T00:00:00
373,3,4,MUY BUENO,7125619,2023-03-21T00:00:00
374,3,3,MUY BUENO,7248182,2021-10-23T00:00:00
375,3,2,ACEPTABLE,5653965,2021-11-03T00:00:00
376,5,5,EXCELENTE,17425,2023-05-15T00:00:00
377,5,4,EXCELENTE,18066,2021-02-08T00:00:00
378,2,1,REGULAR,17593,2022-11-02T00:00:00
379,3,2,ACEPTABLE,16770,2023-01-12T00:00:00
380,5,5,EXCELENTE,17754,2022-08-20T00:00:00
381,1,1,DEFICIENTE,3569222,2022-09-10T00:00:00
382,3,3,MUY BUENO,9294001,2022-09-24T00:00:00
383,5,5,EXCELENTE,16965,2021-04-03T00:00:00
384,1,1,DEFICIENTE,18374,2023-10-10T00:00:00
385,1,1,DEFICIENTE,16972,2023-07-14T00:00:00
386,2,1,REGULAR,17064,2023-06-23T00:00:00
387,5,5,EXCELENTE,17392,2023-06-08T00:00:00
388,5,5,EXCELENTE,18447,2022-07-04T00:00:00
389,5,4,EXCELENTE,52159,2022-07-13T00:00:00
390,1,2,REGULAR,4749887,2023-07-11T00:00:00
391,5,5,EXCELENTE,18393,2023-10-05T00:00:00
392,1,1,DEFICIENTE,17158,2021-06-29T00:00:00
393,4,4,EXCELENTE,18071,2021-12-11T00:00:00
394,2,2,ACEPTABLE,8914013,2023-07-16T00:00:00
395,1,1,DEFICIENTE,17642,2023-12-10T00:00:00
396,1,1,DEFICIENTE,17505,2022-08-23T00:00:00
397,5,5,EXCELENTE,16964,2022-01-12T00:00:00
398,5,4,EXCELENTE,7889423,2021-01-18T00:00:00
399,2,3,ACEPTABLE,18422,2023-09-30T00:00:00
400,3,2,ACEPTABLE,18493,2021-01-15T00:00:00
401,5,5,EXCELENTE,3740132,2022-10-13T00:00:00
402,3,2,ACEPTABLE,18030,2022-02-04T00:00:00
403,4,4,EXCELENTE,16973,2022-11-27T00:00:00
404,2,1,REGULAR,17869,2021-11-24T00:00:00
405,3,3,MUY BUENO,52073,2022-10-23T00:00:00
406,2,3,ACEPTABLE,16957,2022-09-05T00:00:00
407,2,2,ACEPTABLE,7840483,2022-09-14T00:00:00
408,5,5,EXCELENTE,7126156,2022-09-15T00:00:00
409,2,3,ACEPTABLE,17251,2023-09-18T00:00:00
410,4,3,MUY BUENO,7886698,2021-11-15T00:00:00
411,5,5,EXCELENTE,5240105,2021-11-03T00:00:00
412,5,5,EXCELENTE,17203,2021-11-05T00:00:00
413,2,2,ACEPTABLE,17122,2022-08-11T00:00:00
414,4,3,MUY BUENO,7162223,2022-11-10T00:00:00
415,5,5,EXCELENTE,52199,2023-06-22T00:00:00
416,2,2,ACEPTABLE,17931,2021-12-07T00:00:00
417,1,1,DEFICIENTE,16663,2021-02-16T00:00:00
418,5,5,EXCELENTE,3991326,2023-06-12T00:00:00
419,2,3,ACEPTABLE,52221,2022-12-02T00:00:00
420,5,5,EXCELENTE,16708,2021-08-30T00:00:00
421,2,3,ACEPTABLE,17787,2023-03-05T00:00:00
422,3,4,MUY BUENO,3573049,2023-11-13T00:00:00
423,3,3,MUY BUENO,18634,2021-11-17T00:00:00
424,1,2,REGULAR,17682,2022-03-05T00:00:00
425,4,5,EXCELENTE,17692,2023-03-26T00:00:00
426,4,5,EXCELENTE,17308,2022-02-14T00:00:00
427,3,2,ACEPTABLE,18357,2023-01-30T00:00:00
428,4,3,MUY BUENO,17034,2021-04-26T00:00:00
429,2,3,ACEPTABLE,17109,2022-02-27T00:00:00
430,2,3,ACEPTABLE,18125,2022-09-20T00:00:00
431,3,2,ACEPTABLE,4731667,2022-02-05T00:00:00
432,5,5,EXCELENTE,17406,2022-02-12T00:00:00
433,4,4,EXCELENTE,17679,2022-10-18T00:00:00
434,1,1,DEFICIENTE,17791,2023-04-12T00:00:00
435,3,4,MUY BUENO,3568959,2021-07-15T00:00:00
436,1,1,DEFICIENTE,17065,2021-10-21T00:00:00
437,2,1,REGULAR,18403,2021-09-01T00:00:00
438,4,4,EXCELENTE,18124,2021-05-26T00:00:00
439,2,2,ACEPTABLE,4988362,2021-01-16T00:00:00
440,2,1,REGULAR,17892,2021-12-18T00:00:00
441,1,1,DEFICIENTE,18115,2021-12-16T00:00:00
442,3,3,MUY BUENO,18578,2023-02-17T00:00:00
443,3,4,MUY BUENO,17740,2021-02-06T00:00:00
444,5,5,EXCELENTE,7943778,2021-02-06T00:00:00
445,3,2,ACEPTABLE,17853,2021-12-25T00:00:00
446,1,1,DEFICIENTE,7127772,2022-11-16T00:00:00
447,4,3,MUY BUENO,16753,2021-01-02T00:00:00
448,1,1,DEFICIENTE,17331,2023-03-14T00:00:00
449,2,2,ACEPTABLE,9397076,2023-04-01T00:00:00
450,2,1,REGULAR,7862341,2023-07-11T00:00:00
451,1,1,DEFICIENTE,18272,2021-04-11T00:00:00
452,3,3,MUY BUENO,17302,2022-07-17T00:00:00
453,1,1,DEFICIENTE,17605,2023-09-18T00:00:00
454,2,2,ACEPTABLE,17353,2021-09-04T00:00:00
455,2,1,REGULAR,5240280,2023-04-15T00:00:00
456,5,4,EXCELENTE,52155,2021-04-04T00:00:00
