ID,FECHA_REPORTE,TIPO_INCIDENTE,GRAVEDAD,AREA_RECREATIVA_ID
52,2024-01-22T00:00:00,ACCIDENTE,ALTA,52055
53,2021-03-04T00:00:00,CAIDA,CRITICA,52088
54,2022-11-28T00:00:00,DANO ESTRUCTURAL,BAJA,7126517
55,2022-09-28T00:00:00,ACCIDENTE,ALTA,17798
56,2023-09-30T00:00:00,ACCIDENTE,ALTA,16935
57,2022-12-17T00:00:00,CAIDA,MEDIA,17997
58,2022-07-17T00:00:00,DANO ESTRUCTURAL,BAJA,18481
59,2023-04-13T00:00:00,ROBO,CRITICA,52046
60,2020-08-30T00:00:00,DANO ESTRUCTURAL,ALTA,5056315
61,2019-11-03T00:00:00,ROBO,BAJA,4986445
62,2023-06-09T00:00:00,ROBO,CRITICA,3566363
63,2022-05-15T00:00:00,VANDALISMO,MEDIA,18527
64,2020-09-04T00:00:00,CAIDA,MEDIA,18548
65,2023-01-23T00:00:00,ROBO,CRITICA,16986
66,2024-01-14T00:00:00,DANO ESTRUCTURAL,BAJA,16914
67,2021-09-12T00:00:00,DANO ESTRUCTURAL,MEDIA,16830
68,2020-02-28T00:00:00,DANO ESTRUCTURAL,MEDIA,7862164
69,2021-04-29T00:00:00,DANO ESTRUCTURAL,CRITICA,16669
70,2020-01-06T00:00:00,VANDALISMO,CRITICA,7838817
71,2022-03-18T00:00:00,DANO ESTRUCTURAL,ALTA,17710
72,2024-03-18T00:00:00,DANO ESTRUCTURAL,CRITICA,7107695
73,2021-10-01T00:00:00,DANO ESTRUCTURAL,ALTA,18003
74,2024-03-05T00:00:00,ROBO,ALTA,17977
75,2024-10-01T00:00:00,ROBO,CRITICA,18524
76,2024-02-22T00:00:00,ACCIDENTE,MEDIA,18468
77,2019-07-11T00:00:00,VANDALISMO,MEDIA,18085
78,2024-09-05T00:00:00,DANO ESTRUCTURAL,BAJA,17087
79,2022-05-03T00:00:00,ROBO,CRITICA,17304
80,2022-11-20T00:00:00,ACCIDENTE,MEDIA,17905
81,2022-05-05T00:00:00,ROBO,BAJA,5246196
82,2022-07-29T00:00:00,CAIDA,CRITICA,4986142
83,2020-06-11T00:00:00,ROBO,CRITICA,18220
84,2019-01-11T00:00:00,ROBO,BAJA,17739
85,2020-06-22T00:00:00,ROBO,ALTA,52116
86,2022-09-08T00:00:00,DANO ESTRUCTURAL,BAJA,17900
87,2021-04-01T00:00:00,ACCIDENTE,ALTA,8909095
88,2024-06-17T00:00:00,CAIDA,ALTA,16780
89,2020-09-14T00:00:00,ROBO,BAJA,18363
90,2020-01-29T00:00:00,ACCIDENTE,CRITICA,18292
91,2021-02-10T00:00:00,CAIDA,CRITICA,7802438
92,2022-12-21T00:00:00,DANO ESTRUCTURAL,ALTA,18370
93,2022-10-12T00:00:00,VANDALISMO,CRITICA,7247843
94,2021-10-15T00:00:00,ACCIDENTE,CRITICA,17872
95,2023-10-13T00:00:00,DANO ESTRUCTURAL,MEDIA,17927
96,2022-09-19T00:00:00,ACCIDENTE,CRITICA,17854
97,2020-12-17T00:00:00,ROBO,CRITICA,5237131
98,2022-05-28T00:00:00,CAIDA,ALTA,52073
99,2022-10-05T00:00:00,ACCIDENTE,CRITICA,7125612
100,2021-06-30T00:00:00,ROBO,MEDIA,17909
101,2020-07-27T00:00:00,ROBO,MEDIA,16831
102,2020-07-19T00:00:00,CAIDA,BAJA,18234
103,2024-08-23T00:00:00,CAIDA,CRITICA,4988273
104,2023-01-01T00:00:00,CAIDA,ALTA,9187536
105,2024-08-23T00:00:00,ROBO,MEDIA,17911
106,2020-03-12T00:00:00,CAIDA,MEDIA,17686
107,2021-07-03T00:00:00,ACCIDENTE,BAJA,52217
108,2020-03-20T00:00:00,CAIDA,ALTA,5175231
109,2021-10-24T00:00:00,ACCIDENTE,BAJA,17597
110,2024-09-18T00:00:00,ROBO,BAJA,18470
111,2021-03-16T00:00:00,VANDALISMO,BAJA,52111
112,2023-04-29T00:00:00,CAIDA,CRITICA,17954
113,2021-09-14T00:00:00,VANDALISMO,MEDIA,18295
114,2022-07-30T00:00:00,CAIDA,CRITICA,16825
115,2021-12-23T00:00:00,CAIDA,ALTA,17477
116,2021-10-21T00:00:00,ROBO,BAJA,7126577
117,2022-04-24T00:00:00,CAIDA,MEDIA,17109
118,2020-01-18T00:00:00,VANDALISMO,MEDIA,17915
119,2023-01-01T00:00:00,DANO ESTRUCTURAL,CRITICA,16911
120,2021-08-19T00:00:00,CAIDA,ALTA,16811
121,2021-09-16T00:00:00,ACCIDENTE,BAJA,17413
122,2019-12-19T00:00:00,DANO ESTRUCTURAL,MEDIA,16853
123,2020-01-30T00:00:00,ACCIDENTE,MEDIA,16718
124,2024-07-09T00:00:00,VANDALISMO,MEDIA,16822
125,2021-07-20T00:00:00,CAIDA,MEDIA,17144
126,2020-01-01T00:00:00,CAIDA,ALTA,52192
127,2022-09-30T00:00:00,CAIDA,BAJA,17701
128,2023-06-30T00:00:00,ROBO,BAJA,16967
129,2022-02-06T00:00:00,ROBO,MEDIA,17847
130,2019-12-03T00:00:00,ROBO,CRITICA,18269
131,2022-07-03T00:00:00,ROBO,CRITICA,5213818
132,2022-12-23T00:00:00,DANO ESTRUCTURAL,MEDIA,18007
133,2022-03-13T00:00:00,CAIDA,ALTA,18036
134,2022-04-11T00:00:00,VANDALISMO,MEDIA,52147
135,2022-04-06T00:00:00,CAIDA,MEDIA,17919
136,2022-03-20T00:00:00,ACCIDENTE,ALTA,17352
137,2020-09-29T00:00:00,CAIDA,ALTA,17937
138,2021-10-04T00:00:00,DANO ESTRUCTURAL,ALTA,8799550
139,2023-08-25T00:00:00,ACCIDENTE,ALTA,18566
140,2021-09-06T00:00:00,DANO ESTRUCTURAL,BAJA,18267
141,2022-12-02T00:00:00,VANDALISMO,BAJA,18096
142,2024-07-25T00:00:00,DANO ESTRUCTURAL,ALTA,17816
143,2022-08-06T00:00:00,ACCIDENTE,MEDIA,17969
144,2021-04-30T00:00:00,ACCIDENTE,ALTA,17424
145,2021-11-05T00:00:00,CAIDA,BAJA,18571
146,2022-05-26T00:00:00,CAIDA,MEDIA,18222
147,2022-12-29T00:00:00,VANDALISMO,ALTA,5246180
148,2020-06-28T00:00:00,ROBO,BAJA,17824
149,2021-08-01T00:00:00,CAIDA,BAJA,16896
150,2024-01-10T00:00:00,ACCIDENTE,ALTA,17087
151,2021-12-09T00:00:00,VANDALISMO,BAJA,18204
152,2022-09-13T00:00:00,DANO ESTRUCTURAL,BAJA,17339
153,2023-06-23T00:00:00,VANDALISMO,BAJA,17029
154,2024-02-26T00:00:00,DANO ESTRUCTURAL,ALTA,16672
155,2023-08-16T00:00:00,ACCIDENTE,CRITICA,17826
156,2021-06-20T00:00:00,CAIDA,ALTA,17012
157,2022-11-11T00:00:00,VANDALISMO,BAJA,18630
158,2020-11-13T00:00:00,VANDALISMO,MEDIA,3573057
159,2021-01-02T00:00:00,CAIDA,ALTA,5231441
160,2019-10-29T00:00:00,ROBO,ALTA,16771
161,2023-04-24T00:00:00,DANO ESTRUCTURAL,MEDIA,18437
162,2023-01-11T00:00:00,CAIDA,CRITICA,5211393
163,2024-06-24T00:00:00,VANDALISMO,BAJA,17112
164,2024-06-14T00:00:00,ACCIDENTE,MEDIA,17583
165,2022-08-24T00:00:00,ROBO,BAJA,18315
166,2020-07-13T00:00:00,ACCIDENTE,MEDIA,17344
167,2020-05-15T00:00:00,VANDALISMO,CRITICA,17000
168,2022-07-01T00:00:00,DANO ESTRUCTURAL,BAJA,18433
169,2021-11-24T00:00:00,CAIDA,CRITICA,18344
170,2024-09-15T00:00:00,ACCIDENTE,BAJA,18282
171,2023-01-07T00:00:00,ROBO,ALTA,52209
172,2021-09-13T00:00:00,VANDALISMO,CRITICA,52177
173,2024-06-25T00:00:00,ACCIDENTE,ALTA,5237137
174,2022-10-26T00:00:00,ROBO,BAJA,5219919
175,2024-02-17T00:00:00,DANO ESTRUCTURAL,ALTA,5010682
176,2021-10-16T00:00:00,DANO ESTRUCTURAL,ALTA,18176
177,2024-09-13T00:00:00,CAIDA,ALTA,17652
178,2024-06-06T00:00:00,DANO ESTRUCTURAL,ALTA,451542
179,2023-10-18T00:00:00,VANDALISMO,BAJA,451569
180,2024-09-26T00:00:00,VANDALISMO,CRITICA,18263
181,2023-02-23T00:00:00,ROBO,MEDIA,18506
182,2022-08-14T00:00:00,ACCIDENTE,BAJA,17159
183,2023-11-17T00:00:00,CAIDA,MEDIA,18468
184,2021-12-25T00:00:00,ROBO,BAJA,451569
185,2021-09-28T00:00:00,CAIDA,BAJA,18247
186,2024-08-27T00:00:00,ACCIDENTE,ALTA,17265
187,2024-05-28T00:00:00,VANDALISMO,CRITICA,5220259
188,2021-11-04T00:00:00,VANDALISMO,MEDIA,17557
189,2024-09-23T00:00:00,CAIDA,BAJA,18595
190,2022-10-29T00:00:00,CAIDA,ALTA,17211
191,2020-08-24T00:00:00,DANO ESTRUCTURAL,ALTA,17016
192,2020-12-28T00:00:00,DANO ESTRUCTURAL,MEDIA,18634
193,2024-08-12T00:00:00,ACCIDENTE,CRITICA,16842
194,2022-11-28T00:00:00,VANDALISMO,BAJA,3568300
195,2024-02-03T00:00:00,VANDALISMO,CRITICA,5237118
196,2021-08-06T00:00:00,ROBO,CRITICA,17420
197,2023-12-03T00:00:00,ROBO,BAJA,17900
198,2023-05-10T00:00:00,ROBO,BAJA,16943
199,2024-07-30T00:00:00,CAIDA,ALTA,16821
200,2023-01-29T00:00:00,CAIDA,BAJA,3573048
201,2020-06-05T00:00:00,DANO ESTRUCTURAL,CRITICA,18351
202,2021-12-06T00:00:00,ROBO,BAJA,4984713
203,2022-02-15T00:00:00,VANDALISMO,CRITICA,17779
204,2020-12-16T00:00:00,ROBO,ALTA,16687
205,2022-07-25T00:00:00,CAIDA,ALTA,17939
206,2021-12-30T00:00:00,ROBO,BAJA,52176
207,2023-07-27T00:00:00,ROBO,CRITICA,17036
208,2022-08-20T00:00:00,DANO ESTRUCTURAL,BAJA,17844
209,2024-09-10T00:00:00,CAIDA,ALTA,17564
210,2021-03-22T00:00:00,VANDALISMO,MEDIA,17547
211,2022-12-19T00:00:00,DANO ESTRUCTURAL,MEDIA,17286
212,2020-11-02T00:00:00,ACCIDENTE,MEDIA,18073
213,2024-08-15T00:00:00,DANO ESTRUCTURAL,BAJA,18378
214,2024-06-13T00:00:00,ROBO,ALTA,18307
215,2021-05-30T00:00:00,VANDALISMO,CRITICA,18420
216,2021-08-04T00:00:00,ACCIDENTE,ALTA,461342
217,2022-11-01T00:00:00,DANO ESTRUCTURAL,BAJA,18379
218,2020-10-19T00:00:00,DANO ESTRUCTURAL,CRITICA,8785368
219,2023-05-17T00:00:00,VANDALISMO,ALTA,5240288
220,2024-03-13T00:00:00,CAIDA,BAJA,5175231
221,2024-03-04T00:00:00,ACCIDENTE,MEDIA,17924
222,2021-01-05T00:00:00,VANDALISMO,BAJA,16854
223,2021-03-06T00:00:00,ACCIDENTE,CRITICA,18102
224,2020-02-12T00:00:00,VANDALISMO,MEDIA,18339
225,2024-08-20T00:00:00,VANDALISMO,MEDIA,18484
226,2022-09-15T00:00:00,ROBO,ALTA,7107699
227,2022-08-09T00:00:00,DANO ESTRUCTURAL,ALTA,17219
228,2024-03-15T00:00:00,ROBO,ALTA,17722
229,2024-03-22T00:00:00,ROBO,MEDIA,16774
230,2024-07-20T00:00:00,DANO ESTRUCTURAL,MEDIA,17201
231,2022-09-04T00:00:00,CAIDA,MEDIA,18614
232,2024-06-09T00:00:00,CAIDA,BAJA,5653914
233,2021-02-11T00:00:00,ROBO,BAJA,3568959
234,2024-04-28T00:00:00,DANO ESTRUCTURAL,MEDIA,8799552
235,2020-11-20T00:00:00,DANO ESTRUCTURAL,BAJA,17283
236,2022-09-09T00:00:00,ACCIDENTE,BAJA,16896
237,2020-04-06T00:00:00,VANDALISMO,ALTA,17599
238,2024-03-03T00:00:00,VANDALISMO,ALTA,17409
239,2020-05-16T00:00:00,CAIDA,CRITICA,17822
240,2020-06-07T00:00:00,ACCIDENTE,CRITICA,17362
241,2021-09-21T00:00:00,ROBO,BAJA,18173
242,2024-08-05T00:00:00,VANDALISMO,MEDIA,9046339
243,2024-07-27T00:00:00,VANDALISMO,MEDIA,16761
244,2020-06-05T00:00:00,ACCIDENTE,BAJA,3568711
245,2023-09-17T00:00:00,ROBO,MEDIA,17721
246,2024-04-06T00:00:00,ROBO,BAJA,18618
247,2022-06-19T00:00:00,ROBO,CRITICA,18616
248,2024-04-17T00:00:00,ACCIDENTE,BAJA,16820
249,2021-07-16T00:00:00,ACCIDENTE,CRITICA,17514
250,2021-03-02T00:00:00,VANDALISMO,CRITICA,17093
251,2020-01-20T00:00:00,ACCIDENTE,CRITICA,3531279
252,2022-07-28T00:00:00,ACCIDENTE,ALTA,8909088
253,2023-02-25T00:00:00,ROBO,ALTA,17947
254,2021-04-03T00:00:00,ACCIDENTE,ALTA,18544
255,2023-05-25T00:00:00,ROBO,ALTA,16964
256,2024-10-01T00:00:00,ACCIDENTE,MEDIA,17451
257,2022-04-19T00:00:00,DANO ESTRUCTURAL,BAJA,3568168
258,2023-01-30T00:00:00,DANO ESTRUCTURAL,MEDIA,17503
259,2020-08-13T00:00:00,ACCIDENTE,CRITICA,17284
260,2022-12-12T00:00:00,DANO ESTRUCTURAL,CRITICA,7126585
261,2024-09-28T00:00:00,ACCIDENTE,CRITICA,18457
262,2020-04-28T00:00:00,VANDALISMO,CRITICA,17386
263,2023-01-11T00:00:00,ROBO,MEDIA,17987
264,2024-01-21T00:00:00,ACCIDENTE,CRITICA,18129
265,2019-11-17T00:00:00,DANO ESTRUCTURAL,BAJA,17625
266,2021-03-13T00:00:00,VANDALISMO,BAJA,16863
267,2022-07-02T00:00:00,VANDALISMO,ALTA,17593
268,2022-09-04T00:00:00,VANDALISMO,ALTA,3568169
269,2023-11-05T00:00:00,CAIDA,BAJA,52211
270,2023-10-25T00:00:00,ACCIDENTE,BAJA,16872
271,2020-04-09T00:00:00,ROBO,CRITICA,5219934
272,2023-03-20T00:00:00,CAIDA,BAJA,17576
273,2022-02-06T00:00:00,CAIDA,BAJA,16762
274,2021-12-11T00:00:00,VANDALISMO,BAJA,17091
275,2020-02-09T00:00:00,VANDALISMO,ALTA,18588
276,2024-09-23T00:00:00,VANDALISMO,ALTA,16834
277,2022-10-30T00:00:00,DANO ESTRUCTURAL,MEDIA,17997
278,2020-12-16T00:00:00,CAIDA,ALTA,17342
279,2024-02-13T00:00:00,ROBO,BAJA,5237112
280,2020-06-06T00:00:00,ACCIDENTE,ALTA,5133174
281,2022-10-09T00:00:00,ROBO,BAJA,18190
282,2022-09-27T00:00:00,ACCIDENTE,MEDIA,17551
283,2022-07-14T00:00:00,CAIDA,MEDIA,18560
284,2023-12-05T00:00:00,ACCIDENTE,CRITICA,18159
285,2022-06-17T00:00:00,ROBO,BAJA,8799632
286,2021-02-20T00:00:00,CAIDA,MEDIA,5071674
287,2020-06-28T00:00:00,DANO ESTRUCTURAL,MEDIA,17985
288,2022-03-12T00:00:00,ROBO,MEDIA,18091
289,2024-10-09T00:00:00,DANO ESTRUCTURAL,CRITICA,52209
290,2020-11-18T00:00:00,CAIDA,BAJA,52225
291,2022-11-15T00:00:00,VANDALISMO,BAJA,17065
292,2020-05-15T00:00:00,DANO ESTRUCTURAL,MEDIA,17412
293,2023-11-04T00:00:00,VANDALISMO,MEDIA,17022
294,2024-03-18T00:00:00,CAIDA,CRITICA,17464
295,2023-05-05T00:00:00,DANO ESTRUCTURAL,ALTA,17092
296,2020-04-05T00:00:00,VANDALISMO,ALTA,52214
297,2023-04-06T00:00:00,DANO ESTRUCTURAL,CRITICA,17668
298,2019-12-30T00:00:00,ROBO,MEDIA,18175
299,2021-09-07T00:00:00,DANO ESTRUCTURAL,CRITICA,16696
300,2020-08-04T00:00:00,DANO ESTRUCTURAL,MEDIA,17801
301,2023-08-05T00:00:00,DANO ESTRUCTURAL,CRITICA,17542
302,2022-05-03T00:00:00,VANDALISMO,MEDIA,9049653
303,2020-09-21T00:00:00,VANDALISMO,MEDIA,17894
304,2024-09-08T00:00:00,DANO ESTRUCTURAL,MEDIA,3568279
305,2020-05-20T00:00:00,VANDALISMO,CRITICA,18438
306,2020-07-29T00:00:00,CAIDA,MEDIA,18057
307,2023-11-30T00:00:00,DANO ESTRUCTURAL,ALTA,52116
308,2022-08-07T00:00:00,DANO ESTRUCTURAL,BAJA,9438309
309,2020-05-04T00:00:00,ROBO,BAJA,3531279
310,2023-05-12T00:00:00,DANO ESTRUCTURAL,BAJA,16907
311,2020-02-25T00:00:00,DANO ESTRUCTURAL,BAJA,18323
312,2020-11-29T00:00:00,VANDALISMO,MEDIA,18489
313,2020-02-10T00:00:00,ACCIDENTE,BAJA,16855
314,2020-05-09T00:00:00,DANO ESTRUCTURAL,ALTA,7835585
315,2020-05-14T00:00:00,VANDALISMO,BAJA,3573466
316,2019-11-12T00:00:00,ACCIDENTE,MEDIA,17009
317,2023-01-03T00:00:00,ROBO,ALTA,3990963
318,2020-12-03T00:00:00,VANDALISMO,BAJA,52193
319,2021-03-08T00:00:00,DANO ESTRUCTURAL,CRITICA,17396
320,2020-03-19T00:00:00,ROBO,CRITICA,17699
321,2021-02-10T00:00:00,VANDALISMO,MEDIA,17857
322,2023-07-29T00:00:00,DANO ESTRUCTURAL,ALTA,7872643
323,2023-07-20T00:00:00,VANDALISMO,CRITICA,7165942
324,2020-10-05T00:00:00,DANO ESTRUCTURAL,ALTA,4794560
325,2023-12-22T00:00:00,ROBO,MEDIA,17920
326,2020-05-18T00:00:00,DANO ESTRUCTURAL,BAJA,3569191
327,2020-09-14T00:00:00,ROBO,MEDIA,17165
328,2024-11-09T00:00:00,VANDALISMO,CRITICA,18156
329,2022-12-29T00:00:00,DANO ESTRUCTURAL,BAJA,17137
330,2020-12-10T00:00:00,ACCIDENTE,MEDIA,3990960
331,2019-10-17T00:00:00,CAIDA,CRITICA,9049643
332,2020-12-20T00:00:00,ACCIDENTE,MEDIA,17221
333,2024-07-02T00:00:00,CAIDA,MEDIA,17759
334,2023-03-26T00:00:00,ACCIDENTE,MEDIA,16920
335,2024-04-22T00:00:00,DANO ESTRUCTURAL,MEDIA,52090
336,2022-02-13T00:00:00,CAIDA,MEDIA,18231
337,2024-01-23T00:00:00,ACCIDENTE,BAJA,3531283
338,2020-12-05T00:00:00,VANDALISMO,CRITICA,17123
339,2023-09-27T00:00:00,CAIDA,MEDIA,52107
340,2023-02-17T00:00:00,DANO ESTRUCTURAL,MEDIA,52144
341,2021-12-23T00:00:00,DANO ESTRUCTURAL,CRITICA,16916
342,2023-08-19T00:00:00,VANDALISMO,CRITICA,17400
343,2023-08-18T00:00:00,CAIDA,ALTA,17741
344,2020-02-22T00:00:00,VANDALISMO,BAJA,17723
345,2022-03-10T00:00:00,CAIDA,ALTA,17483
346,2023-12-14T00:00:00,VANDALISMO,MEDIA,17215
347,2022-01-08T00:00:00,CAIDA,CRITICA,17794
348,2020-06-12T00:00:00,ROBO,ALTA,17811
349,2021-05-29T00:00:00,CAIDA,CRITICA,5654051
350,2020-11-26T00:00:00,VANDALISMO,CRITICA,18536
351,2023-07-12T00:00:00,VANDALISMO,CRITICA,4749897
352,2021-06-17T00:00:00,CAIDA,MEDIA,5211393
353,2022-02-10T00:00:00,VANDALISMO,CRITICA,4730800
354,2023-11-03T00:00:00,ACCIDENTE,MEDIA,8907324
355,2021-12-12T00:00:00,DANO ESTRUCTURAL,MEDIA,18418
356,2021-02-27T00:00:00,ACCIDENTE,ALTA,16678
357,2021-08-25T00:00:00,DANO ESTRUCTURAL,MEDIA,18554
358,2023-11-05T00:00:00,CAIDA,MEDIA,17383
359,2021-11-03T00:00:00,ROBO,MEDIA,18323
360,2022-12-04T00:00:00,DANO ESTRUCTURAL,MEDIA,18239
361,2020-02-20T00:00:00,ROBO,ALTA,4792795
362,2023-11-30T00:00:00,CAIDA,CRITICA,8799941
363,2021-07-03T00:00:00,DANO ESTRUCTURAL,CRITICA,16812
364,2022-07-17T00:00:00,ACCIDENTE,BAJA,16730
365,2021-10-06T00:00:00,ACCIDENTE,ALTA,17051
366,2024-04-25T00:00:00,ROBO,ALTA,17134
367,2020-02-23T00:00:00,VANDALISMO,BAJA,17208
368,2022-07-15T00:00:00,ACCIDENTE,ALTA,18198
369,2020-11-29T00:00:00,ACCIDENTE,MEDIA,18152
370,2024-06-29T00:00:00,CAIDA,BAJA,18135
371,2021-03-22T00:00:00,ACCIDENTE,CRITICA,17292
372,2020-08-19T00:00:00,DANO ESTRUCTURAL,ALTA,17859
373,2023-12-25T00:00:00,ROBO,CRITICA,18176
374,2021-05-05T00:00:00,ROBO,CRITICA,18098
375,2024-02-25T00:00:00,ROBO,MEDIA,7247916
376,2023-05-07T00:00:00,VANDALISMO,MEDIA,17004
377,2023-01-31T00:00:00,ACCIDENTE,ALTA,18205
378,2022-04-02T00:00:00,VANDALISMO,CRITICA,17416
379,2022-08-30T00:00:00,DANO ESTRUCTURAL,CRITICA,5653914
380,2023-02-06T00:00:00,VANDALISMO,BAJA,18268
381,2022-09-01T00:00:00,ACCIDENTE,BAJA,17644
382,2020-06-01T00:00:00,ACCIDENTE,BAJA,4745667
383,2023-10-01T00:00:00,ROBO,MEDIA,16898
384,2020-06-25T00:00:00,ROBO,CRITICA,18099
385,2021-07-15T00:00:00,CAIDA,ALTA,17570
386,2024-03-06T00:00:00,CAIDA,MEDIA,52091
387,2024-01-06T00:00:00,DANO ESTRUCTURAL,MEDIA,18598
388,2024-06-16T00:00:00,CAIDA,ALTA,17091
389,2020-04-08T00:00:00,CAIDA,CRITICA,8785368
390,2020-08-22T00:00:00,VANDALISMO,CRITICA,17073
391,2022-08-18T00:00:00,CAIDA,BAJA,16975
392,2020-07-19T00:00:00,ROBO,CRITICA,5071591
393,2020-08-29T00:00:00,ROBO,BAJA,16832
394,2022-08-22T00:00:00,DANO ESTRUCTURAL,ALTA,5653899
395,2024-10-01T00:00:00,DANO ESTRUCTURAL,ALTA,52156
396,2024-02-24T00:00:00,CAIDA,MEDIA,18243
397,2021-07-10T00:00:00,DANO ESTRUCTURAL,BAJA,5237139
398,2019-11-20T00:00:00,DANO ESTRUCTURAL,BAJA,7144128
399,2020-06-07T00:00:00,ACCIDENTE,CRITICA,17724
400,2023-08-06T00:00:00,VANDALISMO,MEDIA,5653877
401,2024-03-06T00:00:00,ROBO,CRITICA,17500
402,2020-01-02T00:00:00,ACCIDENTE,BAJA,17848
403,2024-03-25T00:00:00,ACCIDENTE,ALTA,17000
404,2022-02-24T00:00:00,VANDALISMO,ALTA,17051
405,2021-10-07T00:00:00,CAIDA,CRITICA,52183
406,2019-11-02T00:00:00,ROBO,MEDIA,9424150
407,2024-08-05T00:00:00,DANO ESTRUCTURAL,ALTA,17013
408,2020-04-06T00:00:00,ROBO,ALTA,17614
409,2022-02-19T00:00:00,VANDALISMO,ALTA,17922
410,2022-09-18T00:00:00,CAIDA,ALTA,18282
411,2021-02-21T00:00:00,VANDALISMO,BAJA,17925
412,2021-07-15T00:00:00,ACCIDENTE,MEDIA,5237133
413,2021-11-10T00:00:00,DANO ESTRUCTURAL,CRITICA,7802438
414,2020-06-23T00:00:00,ACCIDENTE,CRITICA,16813
415,2022-03-27T00:00:00,ACCIDENTE,MEDIA,17952
416,2023-05-26T00:00:00,DANO ESTRUCTURAL,BAJA,17974
417,2024-03-29T00:00:00,VANDALISMO,CRITICA,17856
418,2021-06-11T00:00:00,DANO ESTRUCTURAL,BAJA,17037
419,2024-07-19T00:00:00,DANO ESTRUCTURAL,CRITICA,17948
420,2019-11-09T00:00:00,ROBO,CRITICA,18443
421,2021-09-22T00:00:00,DANO ESTRUCTURAL,BAJA,18599
422,2023-08-05T00:00:00,CAIDA,CRITICA,17650
423,2021-04-04T00:00:00,DANO ESTRUCTURAL,ALTA,17414
424,2023-07-07T00:00:00,CAIDA,CRITICA,18462
425,2024-02-04T00:00:00,ROBO,CRITICA,16730
426,2020-08-13T00:00:00,CAIDA,MEDIA,18232
427,2024-09-01T00:00:00,ROBO,ALTA,18218
428,2022-02-26T00:00:00,ROBO,BAJA,17209
429,2021-03-14T00:00:00,VANDALISMO,CRITICA,17468
430,2019-10-21T00:00:00,CAIDA,CRITICA,17111
